iso3,country,region,cities,city_ofmsw_food_green_tpy,city_unmanaged_ofmsw_food_green_tpy,cities_with_ad_asset_data,cities_with_compost_asset_data
GMB,"Gambia, The",Sub-Saharan Africa,1,0.0,0.0,0,0
GNQ,Equatorial Guinea,Sub-Saharan Africa,1,0.0,0.0,0,0
GRC,Greece,Eur. & Cent. Asia,2,201082.86269999997,134833.60702887998,0,1
GTM,Guatemala,L. Amer. & the Caribbean,3,13316.808131599999,12350.19524013368,0,0
HND,Honduras,L. Amer. & the Caribbean,2,197634.88195,185335.84195,0,0
HRV,Croatia,Eur. & Cent. Asia,2,0.0,0.0,0,2
HTI,Haiti,L. Amer. & the Caribbean,1,0.0,0.0,0,0
HUN,Hungary,Eur. & Cent. Asia,2,189564.35858254388,65890.38601934904,0,2
IDN,Indonesia,E. Asia & Pacific,1,1566740.944766,788854.0656896809,0,0
IMN,Isle of Man,Eur. & Cent. Asia,1,0.0,0.0,0,0
IND,India,S. Asia,5,6165338.735,2102550.26313941,3,3
IRL,Ireland,Eur. & Cent. Asia,1,0.0,0.0,0,0
IRN,"Iran, Islamic Rep.",Mid. East & N. Africa,1,2366185.5415999996,1064783.49372,0,1
IRQ,Iraq,Mid. East & N. Africa,1,1486516.70346,0.0,0,0
ISR,Israel,Mid. East & N. Africa,2,0.0,0.0,0,0
ITA,Italy,Eur. & Cent. Asia,3,541401.7200000001,0.0,0,3
JOR,Jordan,Mid. East & N. Africa,1,0.0,0.0,0,0
JPN,Japan,E. Asia & Pacific,3,887341.9000440001,1613.4010247944843,0,1
KAZ,Kazakhstan,Eur. & Cent. Asia,2,38017.392,37450.9328592,0,0
KEN,Kenya,Sub-Saharan Africa,2,716458.5,608989.725,0,0
KGZ,Kyrgyz Republic,Eur. & Cent. Asia,1,0.0,0.0,0,0
KHM,Cambodia,E. Asia & Pacific,1,576527.83765,536632.11128462,0,0
KIR,Kiribati,E. Asia & Pacific,1,3828.9940789473685,3790.7041381578947,0,0
KOR,"Korea, Rep.",E. Asia & Pacific,1,955559.7940598001,78355.90311290362,0,1
KWT,Kuwait,Mid. East & N. Africa,1,0.0,0.0,0,0
LAO,Lao PDR,E. Asia & Pacific,1,34796.5085,34796.5085,0,0
