iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e
PRT,Portugal,Eur. & Cent. Asia,HIC,2160428.335104,1274652.7177113595,225.34,680140.816285228,736339.1064275283,678851.459037,691438.2990343983,AD-bio-CNG,736339.1064275283
ROU,Romania,Eur. & Cent. Asia,HIC,3243655.8,2569672.824689526,297.77,820505.3172345078,916311.6545631256,803767.9628346369,1190272.4523961886,Prevention,1190272.4523961886
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,18346960.000000004,16686239.999999998,436.33,7233594.03971507,7638472.118028007,6949283.428800001,7304954.040960001,AD-bio-CNG,7638472.118028007
SMR,San Marino,Eur. & Cent. Asia,HIC,0.0,,,,,,,,
SRB,Serbia,Eur. & Cent. Asia,UMIC,1163047.0458371218,944856.5210031325,710.68,331331.54134966736,329900.9206447442,295541.6712045697,437657.54052865086,Prevention,437657.54052865086
SVK,Slovak Republic,Eur. & Cent. Asia,HIC,1493779.1611913927,587505.7130312454,142.05,180643.1506373369,211143.59321029676,183765.91197904325,272132.64627607283,Prevention,272132.64627607283
SVN,Slovenia,Eur. & Cent. Asia,HIC,239576.67990000025,60910.83052865346,257.49,21005.59466496338,23507.095334640668,20795.227277108173,19203.873893673437,AD-bio-CNG,23507.095334640668
ESP,Spain,Eur. & Cent. Asia,HIC,13999408.33484953,6920858.883168927,217.13,2812879.5298896073,3123352.872795896,2810194.97562822,504064.5139235362,AD-bio-CNG,3123352.872795896
SWE,Sweden,Eur. & Cent. Asia,HIC,1568254.1966426868,25092.06714628299,41.03,7522.629211077608,9063.460792783162,7848.547682685857,11622.645502158284,Prevention,11622.645502158284
CHE,Switzerland,Eur. & Cent. Asia,HIC,2438533.795956426,,37.27,,,,,,
TJK,Tajikistan,Eur. & Cent. Asia,LMIC,0.0,0.0,86.55,,,,,,
TKM,Turkmenistan,Eur. & Cent. Asia,UMIC,139158.52244920068,137766.93722470867,1306.14,39552.96889892625,31636.280816862836,28103.07752446832,56319.12393746091,Prevention,56319.12393746091
TUR,Türkiye,Eur. & Cent. Asia,UMIC,16819598.6378,14745785.01403083,487.93,4921379.698691069,5207680.64470914,4612334.094538704,6830247.618499081,Prevention,6830247.618499081
UKR,Ukraine,Eur. & Cent. Asia,LMIC,4911021.645978112,4544056.5470411,250.47,1880058.4018618965,2069672.111309384,1866787.7326128692,2327533.13522138,Prevention,2327533.13522138
GBR,United Kingdom,Eur. & Cent. Asia,HIC,11979505.89497371,1103312.4929270786,254.98,403763.78757991624,449335.0995574329,400163.6444430348,291553.2617537174,AD-bio-CNG,449335.0995574329
UZB,Uzbekistan,Eur. & Cent. Asia,LMIC,2794904.605,2649569.56554,1121.35,1056308.3610052995,950057.3575387668,873292.8216644265,853349.5814355115,AD-electricity,1056308.3610052995
ATG,Antigua and Barbuda,L. Amer. & the Caribbean,HIC,8473.042753654441,8473.042753654441,611.11,2897.9259811159845,2964.3683610899047,2641.0643723995963,3920.10406823475,Prevention,3920.10406823475
ARG,Argentina,L. Amer. & the Caribbean,UMIC,7546484.5,7546484.5,392.69,3780215.096402529,3994268.58769639,3676649.617517666,3698971.988363074,AD-bio-CNG,3994268.58769639
ABW,Aruba,L. Amer. & the Caribbean,HIC,0.0,0.0,550.0,,,,,,
BHS,"Bahamas, The",L. Amer. & the Caribbean,HIC,0.0,0.0,653.66,,,,,,
BRB,Barbados,L. Amer. & the Caribbean,HIC,130012.8656508359,124552.3252935008,605.51,52620.12029775139,53662.34968307103,48897.27971595708,62661.91601965104,Prevention,62661.91601965104
