iso3,country_wdi,gdp_current_usd_2022,gdp_per_capita_current_usd_2022,population_wdi_2022,urban_population_pct_2022
HTI,Haiti,20253551920.5516,1760.62635668777,11503606.0,53.8524949966907
HUN,Hungary,177002580544.155,18428.028825614,9605074.0,70.1585064243445
IBD,IBRD only,37943329554311.5,7699.23258826186,4928196300.0,57.7552337954716
IBT,IDA & IBRD total,41018485584725.7,6036.81374407089,6794724390.0,52.8148643869515
IDA,IDA total,3075156030414.19,1647.52732460307,1866528090.0,39.7708012570462
IDB,IDA blend,1456880573683.68,2234.83616206483,651895919.0,47.6330129185198
IDN,Indonesia,1319101183380.15,4730.83484836107,278830529.0,57.4934704226599
IDX,IDA only,1618275456730.5,1332.31730178708,1214632171.0,35.5511339217003
IMN,Isle of Man,7431257410.92713,88328.548125887,84132.0,52.1955609162662
IND,India,3346107287730.93,2347.44829434623,1425423212.0,34.7555673994206
IRL,Ireland,548341794599.09,105190.685952731,5212836.0,63.8920250215059
IRN,"Iran, Islamic Rep.",422662261525.665,4721.20437099984,89524246.0,76.3342208862305
IRQ,Iraq,287372232137.931,6520.73154560584,44070551.0,69.8682861328125
ISL,Iceland,29166102877.2755,76350.4550416502,382003.0,94.1787071228028
ISR,Israel,525181008025.57,54949.621556429,9557500.0,91.4979834273327
ITA,Italy,2104067630319.46,35653.9042103495,59013667.0,69.4839779766539
JAM,Jamaica,18813516805.214,6626.47502388538,2839144.0,57.9879906034775
JOR,Jordan,48764963380.2817,4332.25159897931,11256263.0,92.4048379066163
JPN,Japan,4262463317796.53,34065.6438962526,125124989.0,91.9776532428406
KAZ,Kazakhstan,225496328925.494,11255.3396437881,20034609.0,61.444157327248
KEN,Kenya,114448978152.637,2109.56288513137,54252461.0,31.4307820066946
KGZ,Kyrgyz Republic,12134931017.9465,1739.72018344174,6975220.0,34.7003053497743
KHM,Cambodia,39994532959.6074,2325.03050040841,17201724.0,40.374616187368
KIR,Kiribati,270040453.254018,2069.7671726925,130469.0,60.5739126559419
KNA,St. Kitts and Nevis,981429629.62963,21011.5744209816,46709.0,31.6156404983167
KOR,"Korea, Rep.",1799363116866.52,34822.4048404971,51672569.0,81.1624941626873
KWT,Kuwait,183502046693.878,39981.7691035833,4589643.0,100.0
LAC,Latin America & Caribbean (excluding high income),5336050967302.51,9111.34927084769,585648822.0,80.294444140205
LAO,Lao PDR,15468785203.7532,2046.40440255621,7559007.0,38.0682382805397
LBN,Lebanon,20992421948.8081,3654.35845534878,5744489.0,90.206313713022
LBR,Liberia,4001047000.0,744.617175237387,5373294.0,54.4591057083
LBY,Libya,43246297921.8499,5986.63694851258,7223805.0,87.8486088593786
LCA,St. Lucia,2342714814.81481,13103.8243147472,178781.0,29.097678526676
LCN,Latin America & Caribbean,6144995160894.64,9408.84820249156,653108120.0,80.8277327769
LDC,Least developed countries: UN classification,1474237106700.91,1299.36172423082,1134585604.0,35.2589263540141
LIE,Liechtenstein,7426856242.7736,188055.003235348,39493.0,14.6923070071538
LKA,Sri Lanka,74143020262.8076,3342.63650253855,22181000.0,19.9877933196367
LMY,Low & middle income,36965295357847.5,5741.78381882953,6437946207.0,52.6396704057543
LSO,Lesotho,2354980960.02697,1030.12582947757,2286110.0,41.6703965165322
LTE,Late-demographic dividend,28550398557203.3,12286.0846812169,2323799591.0,66.5775786046606
LTU,Lithuania,71033884499.7824,25085.784063499,2831639.0,68.2866452426813
LUX,Luxembourg,80801680397.0139,123719.658915996,653103.0,94.7605400940185
LVA,Latvia,38003198508.9107,20221.103686109,1879383.0,68.2570218109034
MAC,"Macao SAR, China",24929307447.3237,36806.891255461,677300.0,100.0
MAF,St. Martin (French part),,,28870.0,100.0
MAR,Morocco,131245312804.483,3463.1376953125,37329064.0,62.5118468550703
MCO,Monaco,8800430486.17137,226052.001905201,38931.0,100.0
MDA,Moldova,14525337523.7271,5744.29618434435,2528654.0,42.4048843383789
MDG,Madagascar,15325603272.6097,503.51453347296,30437261.0,31.5397813465886
MDV,Maldives,6177123352.26211,11786.0191492983,524106.0,41.0641769690663
MEA,"Middle East, North Africa, Afghanistan & Pakistan",5030925398736.26,6430.53553485753,782349366.0,55.12536380356
MEX,Mexico,1466934724293.06,11405.7940473759,128613117.0,79.199683215791
MHL,Marshall Islands,258723510.742188,6455.66062185762,40077.0,77.9855966195187
MIC,Middle income,36528767758177.8,6248.00962014697,5846464711.0,54.2809961716245
MKD,North Macedonia,13932436550.0883,7606.2375253797,1831712.0,61.9530566607267
MLI,Mali,22539987718.7642,976.914116406452,23072640.0,30.4015705681899
MLT,Malta,18928276162.4131,35638.8869457406,531113.0,95.6003155132879
MMR,Myanmar,62253049903.28,1158.05005055976,53756787.0,30.311095757938
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2160815136190.98,3015.7557973385,716508657.0,52.1693289932022
MNE,Montenegro,6251215144.13471,10024.5435616209,623591.0,65.4012965440866
MNG,Mongolia,17146471713.748,4993.51487463495,3433748.0,69.783805847168
MNP,Northern Mariana Islands,1096000000.0,23785.754590043,46078.0,91.8785788645608
MOZ,Mozambique,18883528581.3734,578.251663751351,32656246.0,35.0536638047945
