iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,ad_screen_avoided_grid_tco2e,ad_screen_grid_credit_share,compost_screen_net_gwp100_benefit_tco2e,ad_minus_compost_tco2e,best_screening_pathway
PAN,Panama,L. Amer. & the Caribbean,HIC,678010.5753111525,678010.5753111525,168.98,195645.1512831016,16738.771979977955,0.085556794381051,178906.37930312366,16738.77197997793,AD
PRY,Paraguay,L. Amer. & the Caribbean,UMIC,0.0,0.0,24.71,,0.0,,,,
PER,Peru,L. Amer. & the Caribbean,UMIC,5597637.570175758,5499678.912697682,287.81,1965257.208697601,231257.07807288368,0.1176726776777175,1734000.130624717,231257.0780728839,AD
PRI,Puerto Rico,L. Amer. & the Caribbean,HIC,905459.6580748332,778695.3059443566,660.3,261463.38808571728,75120.88119260296,0.2873093695549282,186342.50689311433,75120.88119260294,AD
SXM,Sint Maarten (Dutch),L. Amer. & the Caribbean,HIC,7119.31913737056,6407.387223633505,,,,,1447.691397591432,,AD
KNA,St. Kitts and Nevis,L. Amer. & the Caribbean,HIC,8976.0,,636.36,,,,,,
LCA,St. Lucia,L. Amer. & the Caribbean,UMIC,43303.7825,,650.0,,,,,,
MAF,St. Martin (French),L. Amer. & the Caribbean,HIC,4182.146212026117,,,,,,,,
VCT,St. Vincent and the Grenadines,L. Amer. & the Caribbean,UMIC,9805.068,9802.51468638419,600.0,3827.689107930931,859.2916106000722,0.224493574679205,2968.397497330859,859.2916106000721,AD
SUR,Suriname,L. Amer. & the Caribbean,UMIC,79800.0,75810.0,374.41,18855.57714255761,4146.920942557604,0.2199307351456179,14708.6562,4146.92094255761,AD
TTO,Trinidad and Tobago,L. Amer. & the Caribbean,HIC,255454.9146560755,,682.11,,,,,,
TCA,Turks and Caicos Islands,L. Amer. & the Caribbean,HIC,3875.975217703568,,653.85,,,,,,
URY,Uruguay,L. Amer. & the Caribbean,HIC,512022.4423262926,512020.9919311552,110.36,249437.19829805547,8255.650103877824,0.0330971088522773,241181.54819417765,8255.650103877822,AD
VEN,"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),4140950.479679504,4140950.479679504,180.43,1264499.688278226,109159.26574987904,0.0863260519253373,1155340.422528347,109159.26574987895,AD
VIR,Virgin Islands (US),L. Amer. & the Caribbean,HIC,16679.19689738615,,632.35,,,,,,
DZA,Algeria,Mid. East & N. Africa,LMIC,7659125.300433826,7046395.276399119,633.65,2552793.189778381,652331.365331616,0.2555363152579734,1900461.824446765,652331.365331616,AD
BHR,Bahrain,Mid. East & N. Africa,HIC,645094.53934854,456221.332493,902.75,198325.00744426367,60172.0635387334,0.3034012922230388,138152.94390553026,60172.063538733404,AD
DJI,Djibouti,Mid. East & N. Africa,LMIC,0.0,0.0,450.0,,0.0,,,,
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,15096331.315863367,12152546.70927001,570.04,3714860.4797194623,1012102.3892820496,0.2724469451295466,2702758.0904374127,1012102.3892820496,AD
IRN,"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,14734412.942618882,12981017.802447235,655.37,4484508.329719093,1242931.2938895032,0.2771611071948571,3241577.0358295897,1242931.293889503,AD
IRQ,Iraq,Mid. East & N. Africa,UMIC,12461687.004741486,12453870.715142358,688.71,4480472.857686544,1253119.7118828257,0.2796847010763645,3227353.145803718,1253119.711882826,AD
ISR,Israel,Mid. East & N. Africa,HIC,2661537.4599999995,2015975.8800000008,583.32,782286.0676870128,171808.2517054127,0.2196233050824982,610477.8159816001,171808.25170541275,AD
JOR,Jordan,Mid. East & N. Africa,LMIC,1959796.4782118923,1822610.72473706,539.21,602752.9487782633,143583.21683419924,0.2382123839049349,459169.731944064,143583.21683419927,AD
KWT,Kuwait,Mid. East & N. Africa,HIC,1662001.376662524,1662001.376662524,636.89,657936.4394653074,154649.182584362,0.2350518580640441,503287.2568809454,154649.182584362,AD
