iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data
CZE,Czech Republic,Eur. & Cent. Asia,HIC,Karlovy Vary,karv,49043.0,,2023.0,15665.71133,0.875,0.244,,0.069,,,,,,,,,,,,,,,,0.244,3822.43356452,,,,,,,,False,False
CZE,Czechia,Eur. & Cent. Asia,HIC,Prague,prag,1274562.0,1305737.0,2021.0,338010.0,0.727,,,,,,,,,0.0,,,0.0240022484541877,0.78610396142126,,,,,0.1899,,,0.1899,,,,,,,False,False
DNK,Denmark,Eur. & Cent. Asia,HIC,Copenhagen,copn,602481.0,1346485.0,2022.0,250000.0,1.137,0.41,0.07,,,,,,0.02,,,,0.45,0.53,,,,,,0.48,120000.0,0.02,2400.0,,,,,,False,False
DJI,Djibouti,Mid. East & N. Africa,LMIC,Djiibouti City,djic,531499.0,,2014.0,125560.0,0.647,0.37,,0.05,,0.87,0.87,,,,,,,,,,,0.13,,0.37,46457.2,1.0,46457.2,,,,,,False,False
DOM,Dominican Republic,L. Amer. & the Caribbean,UMIC,Santo Domingo,sado,2944550.0,2944551.0,2015.0,730000.0,0.679,0.577,0.0685,0.003,0.009000000000000001,0.8684,,,,1.0,,,,,,,,,,0.6455,471215.0,1.0,471215.0,,,,,,False,False
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,Quito,quit,2679722.0,2017260.0,2023.0,735675.126903553,0.752,0.6341,,0.0032,0.00985,,,,0.997,,,,0.003,,,,,,,0.6341,466491.59796954296,0.997,465092.1231756343,,,,,,False,False
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,Cairo,cair,20000000.0,20900604.0,2019.0,4965825.0,0.68,0.64,,0.006,,0.65,0.21,,,,,,0.44,,,,,0.35,,0.64,3178128.0,0.5599999999999999,1779751.6799999997,,,,,,False,False
SLV,El Salvador,L. Amer. & the Caribbean,UMIC,San Salvador,ssal,316090.0,1105766.0,2020.0,614144.3353,0.97,0.3149,,0.0049,,0.85,,,1.0,,,,,,,,,,,0.3149,193394.05118597002,1.0,193394.05118597002,,,,,,False,False
GNQ,Equatorial Guinea,Sub-Saharan Africa,UMIC,Malabo,mala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
EST,Estonia,Eur. & Cent. Asia,HIC,Tallinn,tall,444456.0,445259.0,2019.0,234221.0,1.444,0.275,,0.015,,1.0,,,0.077,,,0.137,0.328,0.457,,,,,0.001,0.275,64410.77500000001,0.078,5024.04045,0.137,,10000.0,,15306.108129,False,True
EST,Estonia,Eur. & Cent. Asia,HIC,Tartummaa,tart,98036.0,,2024.0,25681.3371,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
ETH,Ethiopia,Sub-Saharan Africa,LIC,Addis Ababa,adab,4793699.0,4793699.0,2020.0,791320.0,,0.648,,0.009,,0.75,0.4958,,,,,,0.0601,0.1941,,,,0.25,,0.648,512775.36000000004,0.7458,382427.86348800006,,,,,39566.0,False,True
FJI,Fiji,E. Asia & Pacific,UMIC,Suva,suva,74481.0,,2019.0,16800.0,0.618,0.3638,0.2141,,,,,,,,,,,,,,,,,0.5779000000000001,9708.720000000001,,,,,,,,False,False
FIN,Finland,Eur. & Cent. Asia,HIC,Helsinki,hels,,1304851.0,2022.0,733000.0,,0.4,0.04,0.02,,,,,,,,,0.46,0.54,,,,,,0.44,322520.0,,,,,,,,False,False
FIN,Finland,Eur. & Cent. Asia,HIC,Oulu,oulu,198570.0,,2015.0,76341.0,1.053,0.266,,0.025,,,,,,0.05,,,0.17,0.78,,,,,,0.266,20306.706000000002,0.05,1015.3353000000002,,,,,,False,False
FIN,Finland,Eur. & Cent. Asia,HIC,Riihimaki,rihm,28521.0,,2021.0,8641.863,0.83,0.475,0.009,0.007,,,,,,,,,,,,,,,,0.484,4182.661692,,,,,,,,False,False
FRA,France,Eur. & Cent. Asia,HIC,Angers-Loire Metropole,angr,301384.0,,2022.0,144321.0,1.312,0.298,,,0.01,0.99,,,0.2664,,,0.1069,0.2562,0.373,,,,,,0.298,43007.657999999996,0.2664,11457.2400912,0.1069,,,,15442.347,False,True
FRA,France,Eur. & Cent. Asia,HIC,Paris,pari,2165423.0,11017230.0,2022.0,1038973.0,1.315,0.242,,0.061,0.01,,,,0.067,,,0.004,0.191,0.738,,,,,,0.242,251431.466,0.067,16845.908222000002,0.004,,,,4155.892,False,True
GAB,Gabon,Sub-Saharan Africa,UMIC,Libreville,lbvl,747259.0,648564.0,2019.0,219000.0,0.8,,,,,0.58,0.58,,,,,,,,,,,0.42,,,,1.0,,,,,,,False,False
GMB,"Gambia, The",Sub-Saharan Africa,LIC,Banjul/Serakunda,banj,,,,365000.0,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,False,False
GEO,Georgia,Eur. & Cent. Asia,UMIC,Tbilisi,tbil,,1077833.0,2018.0,416515.3,,0.4715,,0.0147,0.01,0.99,,,,,,,,,,,,,,0.4715,196386.96394999998,,,,,,,,False,False
DEU,Germany,Eur. & Cent. Asia,HIC,Berlin,berl,3677472.0,3562038.0,2021.0,1594174.0,1.188,0.19,0.19,0.01,,1.0,,,0.005,,,,0.308,0.687,,,,,,0.38,605786.12,0.005,3028.9306,,,69000.0,,,False,True
DEU,Germany,Eur. & Cent. Asia,HIC,Hamburg,hamb,1875180.0,1789954.0,2022.0,1427259.0,2.085,0.332,0.081,,,,,,,,,0.138783162318421,0.416657754178908,0.444559083502671,,,,,,0.41300000000000003,589457.9670000001,,,0.138783162318421,,,,198079.517467427,False,True
GHA,Ghana,Sub-Saharan Africa,LMIC,Accra,acra,,2514005.0,2020.0,900000.0,,0.5391,,,,0.454,,,,0.677,,0.012,0.068,,,0.013,,0.23,,0.5391,485190.0,0.907,440067.33,0.012,,,,10800.0,False,True
