iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,robust_winning_pathway,max_win_probability,city_unmanaged_ofmsw_mt,city_ofmsw_mt
BFA,Burkina Faso,Sub-Saharan Africa,LIC,Ouagadougou,ogod,2500000.0,2780331.0,2020.0,775625.0,0.85,0.3219,,,,0.773569701853344,,,,,,,,,,,,0.226430298146656,0.773569701853344,0.3219,249673.68750000003,1.0,249673.68750000003,,,,,,False,False,Prevention,49976.42592976289,0.4065474638332826,0.4125370106437966,Longer-term / local fit,Prevention,0.881,0.24967368750000002,0.24967368750000002
BDI,Burundi,Sub-Saharan Africa,LIC,Bujumbura,buju,800000.0,1012996.0,2021.0,204400.0,0.7,0.85,,,,0.46,0.46,,,,,,,,,,,0.54,,0.85,173740.0,1.0,173740.0,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.17374,0.17374
KHM,Cambodia,E. Asia & Pacific,LMIC,Phnom Penh,phph,2147000.0,1778611.0,2016.0,1031909.5,1.317,0.4918,0.0669,,0.0091,0.833,0.0949,,,0.5791,,,0.0692,,,,,0.167,0.0898,0.5587,576527.83765,0.9308,536632.11128462,,,,,,False,False,Prevention,1113836.675346542,0.7891204840453387,0.5489925848340752,Strategic build-out,Prevention,0.848,0.53663211128462,0.57652783765
CMR,Cameroon,Sub-Saharan Africa,LMIC,Yaounde,yaud,1881876.0,,2013.0,281622.7434,0.41,0.77,,,,0.2,,,,,,,,,,,,,,0.77,216849.512418,,,,,,,,False,False,,,,,,Missing/insufficient data,0.0,,0.216849512418
CAN,Canada,N. Amer.,HIC,Ottawa,otwa,1000000.0,1308329.0,2015.0,861000.0,2.359,0.1823,0.072,0.0325,,,,,0.529,,,0.2874,0.1833,,,,,,0.0003,0.2542999999999999,218952.3,0.5293,115891.45239,0.2874,,,,99400.0,False,True,Prevention,2477478.741389202,0.8876511771333476,0.8746470099233076,Immediate priority,Prevention,0.637,0.11589145239000001,0.2189523
CAN,Canada,N. Amer.,HIC,Toronto,trto,3110984.0,6491286.0,2023.0,712300.0,0.627,0.46,,,,0.9732303804576724,,,0.4641,,,0.347,0.1889,,,,,,,0.46,327658.0,0.4641,152066.0778,0.347,,,,247168.1,False,True,Prevention,2477478.741389202,0.8876511771333476,0.8746470099233076,Immediate priority,Prevention,0.637,0.1520660778,0.327658
CAN,Canada,N. Amer.,HIC,Vancouver,vcvr,2807469.0,2581079.0,2021.0,1801113.0,1.758,0.3788,,,,,,,0.3563,,,,0.5096,0.1341,,,,,,0.3788,682261.6044000001,0.3563,243089.80964772,,,,,,False,False,Prevention,2477478.741389202,0.8876511771333476,0.8746470099233076,Immediate priority,Prevention,0.637,0.24308980964771998,0.6822616044
CHL,Chile,L. Amer. & the Caribbean,HIC,Santiago De Chile,sadc,8271775.0,6767223.0,2022.0,225935.0,0.075,0.4895581578947368,,,0.00995,,,0.021,0.979,,,,,,,,,,,0.4895581578947368,110608.32240394736,1.0,110608.32240394736,,,,,,False,False,Prevention,2709766.326181421,0.898697058909988,0.9175765407137008,Immediate priority,Prevention,0.563,0.11060832240394736,0.11060832240394736
CHN,China,E. Asia & Pacific,UMIC,Beijing,beij,21858000.0,22596455.0,2022.0,7406000.0,0.952,0.5332,,0.0084,,1.0,,,0.0582,,,,,0.6632,,,0.2786,,,0.5332,3948879.2,0.0582,229824.76944,,1914425.0,,,,True,False,Prevention,31836581.55139289,1.0,0.6728360774799244,Immediate priority,Prevention,0.55,0.22982476944,3.9488792000000004
CHN,China,E. Asia & Pacific,UMIC,Shanghai,shha,24750000.0,27058479.0,2022.0,8901000.0,0.985,0.604,,0.0195,0.01,1.0,,,0.0185372430064037,,,,,0.7464329850578587,,,0.2195258959667453,,,0.604,5376204.0,0.0185372430064037,99660.0,,,,,,False,False,Prevention,31836581.55139289,1.0,0.6728360774799244,Immediate priority,Prevention,0.55,0.09966,5.376204
