iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,ad_screen_avoided_landfill_gwp20_tco2e,bio_cng_screen_avoided_landfill_gwp20_tco2e,compost_screen_avoided_landfill_gwp20_tco2e,prevention_screen_avoided_landfill_gwp20_tco2e,ad_screen_net_gwp20_benefit_tco2e,bio_cng_screen_net_gwp20_benefit_tco2e,compost_screen_net_gwp20_benefit_tco2e,prevention_screen_net_gwp20_benefit_tco2e,best_four_pathway_screen_gwp20,best_four_pathway_benefit_gwp20_tco2e
VUT,Vanuatu,E. Asia & Pacific,LMIC,14952.672477129294,14701.600760859512,500.0,117.61280608687612,558.3768998374871,436.8668875693969,117.61280608687612,959.4610927361996,132.31440684773565,436.8668875693969,117.61280608687612,200.0887863552979,58.80640304343806,4410.480228257854,9503.11473181959,9503.11473181959,9503.11473181959,4751.557365909795,9624.624744087681,9893.394530138658,9303.025945464293,9162.03759416765,AD-bio-CNG,9893.394530138658
VNM,Viet Nam,E. Asia & Pacific,LMIC,11589491.802357044,8373407.827202965,415.41,102798.79228690696,264223.8430733689,248820.83763003245,102798.79228690696,546468.3169198172,62611.152218970914,248820.83763003245,102798.79228690696,113962.08052823236,51399.39614345349,2512022.3481608895,8306142.416782082,8306142.416782082,8306142.416782082,4153071.2083910415,8321545.4222254185,8541178.743852897,8192180.33625385,6665093.556551931,AD-bio-CNG,8541178.743852897
ALB,Albania,Eur. & Cent. Asia,UMIC,446211.746173967,350707.7656085401,24.39,4060.162963750824,649.7555484375337,10421.491679717135,4060.162963750824,22888.01481520903,153.9677232574613,10421.491679717135,4060.162963750824,4773.132689932231,2030.081481875412,105212.32968256203,328061.1674710666,328061.1674710666,328061.1674710666,164030.5837355333,318289.43133978697,340373.72288330103,323288.03478113434,269242.9134180953,AD-bio-CNG,340373.72288330103
AND,Andorra,Eur. & Cent. Asia,HIC,8226.856689609853,205.6714172402463,,2.468057006882956,,6.111649566144264,2.468057006882956,13.422601112614668,,6.111649566144264,2.468057006882956,2.799187988639752,1.2340285034414782,61.70142517207391,199.41900615614284,199.41900615614284,199.41900615614284,99.70950307807144,,,196.6198181675031,161.41092825014533,Composting,196.6198181675031
ARM,Armenia,Eur. & Cent. Asia,UMIC,298311.3840000001,297714.7612320001,240.89,2919.204177304001,5447.684578137827,8846.772758865623,2919.204177304001,19429.56653372293,1290.8971589971768,8846.772758865623,2919.204177304001,4051.8979003675217,1198.9588585355718,73365.42330360001,235871.69752616328,235871.69752616328,235871.69752616328,96875.8757696742,232472.60934543549,245163.59414202344,231819.79962579574,170241.2990732742,AD-bio-CNG,245163.59414202344
AUT,Austria,Eur. & Cent. Asia,HIC,0.0,0.0,140.84,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
AZE,Azerbaijan,Eur. & Cent. Asia,UMIC,1797294.9113208172,1532086.0742063175,671.39,16084.495403985162,78135.9411260094,45526.85694668526,16084.495403985162,99987.54576695274,18515.290848504836,45526.85694668526,16084.495403985162,20851.691469947986,8042.247701992581,459625.8222618953,1299627.228642001,1299627.228642001,1299627.228642001,649813.6143210005,1332236.3128213251,1335572.6266137636,1278775.537172053,1109439.436582896,AD-bio-CNG,1335572.6266137636
BLR,Belarus,Eur. & Cent. Asia,UMIC,0.0,0.0,439.22,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
BEL,Belgium,Eur. & Cent. Asia,HIC,3098766.7395,35626.93037795307,139.4,480.76246743039064,377.2541212444422,1058.675612339102,480.76246743039064,2325.0973895490893,89.39509370435985,1058.675612339102,480.76246743039064,484.8825224439412,226.01361974600965,10049.251396263931,38845.60736837556,38845.60736837556,38845.60736837556,18261.900475477578,38164.1858772809,40022.634051881185,38360.72484593162,28311.15187174151,AD-bio-CNG,40022.634051881185
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,0.0,0.0,683.18,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,772338.0725474465,502343.4529608504,476.33,7174.2938551184725,18176.13314599358,14927.437110803448,7174.2938551184725,32784.11692350396,4307.062625079153,14927.437110803448,7174.2938551184725,6836.894394797173,1540.9926235936127,64740.10441913512,579682.9434935725,579682.9434935725,579682.9434935725,124512.20398636391,582931.6395287627,593232.5606811938,572846.0490987754,189252.30840549903,AD-bio-CNG,593232.5606811938
CHI,Channel Islands,Eur. & Cent. Asia,HIC,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,
HRV,Croatia,Eur. & Cent. Asia,HIC,682974.6546000001,412614.4708300344,244.68,8098.041949567804,7668.947079950136,12261.08656939697,8098.041949567804,26928.19220852032,1817.253157008471,12261.08656939697,8098.041949567804,5615.682947996768,3427.9451136774323,104797.16711197606,654321.7895250786,654321.7895250786,654321.7895250786,276977.96518513653,649729.6500356317,667171.6420071935,648706.1065770818,381775.1322971126,AD-bio-CNG,667171.6420071935
CYP,Cyprus,Eur. & Cent. Asia,HIC,255927.768,211961.35300637237,555.13,2543.536236076469,8938.079124036653,6298.558781396159,2543.536236076469,13833.097135569857,2117.9899060996954,6298.558781396159,2543.536236076469,2884.794014416728,1271.7681180382344,63588.40590191171,205517.72787497868,205517.72787497868,205517.72787497868,102758.86393748934,208157.24821761917,210934.27632305268,202632.93386056196,166347.26983940107,AD-bio-CNG,210934.27632305268
CZE,Czech Republic,Eur. & Cent. Asia,HIC,2189387.1870031357,994947.2555614308,488.36,19898.94511122862,36909.05768407738,29565.45466736126,19898.94511122862,64932.60132443176,8746.063951067648,29565.45466736126,19898.94511122862,13541.232148191071,9949.47255561431,298484.1766684293,1607834.7649872724,1607834.7649872724,1607834.7649872724,803917.3824936362,1615178.3680039886,1634455.8476932754,1594293.5328390815,1102401.5591620654,AD-bio-CNG,1634455.8476932754
DNK,Denmark,Eur. & Cent. Asia,HIC,2159383.0468753106,23497.616987983583,203.64,549.3593351784721,363.4793333711808,698.245787368125,549.3593351784721,1533.5098292159953,86.13098502179358,698.245787368125,549.3593351784721,319.80256720645656,135.44329023413917,3475.9703025490526,44388.23428242054,44388.23428242054,44388.23428242054,10943.817850918445,44053.46782842359,45137.367339246615,44068.43171521409,14419.788153467498,AD-bio-CNG,45137.367339246615
EST,Estonia,Eur. & Cent. Asia,HIC,158400.0,23545.945945946,487.7,282.55135135135197,872.2916440891764,699.6819113513529,282.55135135135197,1536.6638908431391,206.70044108108152,699.6819113513529,282.55135135135197,320.4603243243251,141.27567567567598,7063.7837837838,22830.149189189236,22830.149189189236,22830.149189189236,11415.074594594618,23002.75892192706,23460.43072759994,22509.68886486491,18478.85837837842,AD-bio-CNG,23460.43072759994
