iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_three_pathway_screen,best_three_pathway_benefit_tco2e
JOR,Jordan,Mid. East & N. Africa,LMIC,1959796.4782118923,1822610.72473706,539.21,602752.9487782633,459169.731944064,782513.2664563039,Prevention,782513.2664563039
KWT,Kuwait,Mid. East & N. Africa,HIC,1662001.376662524,1662001.376662524,636.89,657936.4394653074,503287.2568809454,769839.0376700811,Prevention,769839.0376700811
LBN,Lebanon,Mid. East & N. Africa,LMIC,1457668.7706118536,1457668.7706118536,379.86,455698.9633622482,374801.62497480225,641887.3584764712,Prevention,641887.3584764712
LBY,Libya,Mid. East & N. Africa,UMIC,2890891.722595346,2890891.722595346,830.53,1015468.7371744242,664685.3884260124,1233693.8244010091,Prevention,1233693.8244010091
MLT,Malta,Mid. East & N. Africa,HIC,112342.056582,97319.62398370232,500.0,36896.91606079594,29787.69127584472,43881.24988318563,Prevention,43881.24988318563
MAR,Morocco,Mid. East & N. Africa,LMIC,5262285.850885011,4836040.696963325,662.64,2036266.056066088,1568078.986658743,2291868.6222355664,Prevention,2291868.6222355664
OMN,Oman,Mid. East & N. Africa,HIC,1249413.1112073,619708.9031588208,545.28,311904.0627012742,262534.5177780632,297596.1174467154,AD,311904.0627012742
QAT,Qatar,Mid. East & N. Africa,HIC,757087.7446213181,754715.9618651386,596.9,294359.9134311529,228543.0875720012,349584.4335359322,Prevention,349584.4335359322
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,8677370.581836307,8332555.726510289,700.05,5042768.805405772,4190534.314804878,4693274.707371081,AD,5042768.805405772
SYR,Syrian Arab Republic,Mid. East & N. Africa,LIC,2395863.530646965,2328120.489317922,682.27,720054.2802004665,487987.1946745703,969878.28470172,Prevention,969878.28470172
TUN,Tunisia,Mid. East & N. Africa,LMIC,1863952.9285719893,1696197.1650005102,565.62,611224.1308228847,471054.82899344154,764384.7285722301,Prevention,764384.7285722301
ARE,United Arab Emirates,Mid. East & N. Africa,HIC,1275486.1147556256,1153671.390621407,558.49,443489.3840241533,349354.77050797443,534380.5881358357,Prevention,534380.5881358357
PSE,West Bank and Gaza,Mid. East & N. Africa,UMIC,788862.1469550496,767089.5516990903,460.78,251796.60647180947,200155.9793707057,339248.84100961225,Prevention,339248.84100961225
YEM,"Yemen, Rep.",Mid. East & N. Africa,LIC,3746712.786364822,3746712.786364822,584.16,1118857.202003124,799089.9109652019,1567732.5351432888,Prevention,1567732.5351432888
BMU,Bermuda,N. Amer.,HIC,17857.000415299935,2446.1644404520457,650.79,973.3307146818912,740.7475158576884,1133.0633688173875,Prevention,1133.0633688173875
CAN,Canada,N. Amer.,HIC,9573913.640211128,5987670.607226044,160.6,2031232.6344754256,1890739.448342312,2477478.741389202,Prevention,2477478.741389202
USA,United States,N. Amer.,HIC,92559872.90698656,45446897.5973304,410.39,29335336.799632207,26610422.605314534,17610152.798155032,AD,29335336.799632207
