iso3,country,best_four_pathway_screen,scenario,mitigation_potential_score,readiness_score,opportunity_readiness_class,central_opportunity_readiness_class
YEM,"Yemen, Rep.",Prevention,Central equal weights,0.8312501332770891,0.397469590034255,Strategic build-out,Strategic build-out
BMU,Bermuda,Prevention,Central equal weights,0.0,0.9,No-regret / complementary,No-regret / complementary
CAN,Canada,Prevention,Central equal weights,0.8876511771333476,0.8746470099233076,Immediate priority,Immediate priority
USA,United States,AD-bio-CNG,Central equal weights,1.0,0.8507307029350961,Immediate priority,Immediate priority
AFG,Afghanistan,Prevention,Central equal weights,0.6824331593964805,0.494261266718303,Strategic build-out,Strategic build-out
BGD,Bangladesh,Prevention,Central equal weights,0.8673050069749466,0.6588489107297351,Immediate priority,Immediate priority
BTN,Bhutan,Prevention,Central equal weights,0.1938297859131287,0.6150380801232654,No-regret / complementary,No-regret / complementary
IND,India,Prevention,Central equal weights,1.0,0.5717633194699608,Strategic build-out,Strategic build-out
MDV,Maldives,Prevention,Central equal weights,0.4142990952635595,0.7597473610179847,No-regret / complementary,No-regret / complementary
NPL,Nepal,Prevention,Central equal weights,0.6862687510723511,0.570087560059359,Strategic build-out,Strategic build-out
PAK,Pakistan,,Central equal weights,,,Missing/insufficient,Missing/insufficient
LKA,Sri Lanka,Prevention,Central equal weights,0.7043027714971855,0.5316987360075538,Strategic build-out,Strategic build-out
AGO,Angola,,Central equal weights,,,Missing/insufficient,Missing/insufficient
BEN,Benin,Prevention,Central equal weights,0.6146299650082516,0.4899389088202,Longer-term / local fit,Longer-term / local fit
BWA,Botswana,Prevention,Central equal weights,0.2610730465966596,0.7574146320321912,No-regret / complementary,No-regret / complementary
BFA,Burkina Faso,Prevention,Central equal weights,0.4065474638332826,0.4125370106437966,Longer-term / local fit,Longer-term / local fit
BDI,Burundi,,Central equal weights,,,Missing/insufficient,Missing/insufficient
CPV,Cabo Verde,Prevention,Central equal weights,0.2408610714130485,0.6075049229999263,No-regret / complementary,No-regret / complementary
CMR,Cameroon,,Central equal weights,,,Missing/insufficient,Missing/insufficient
CAF,Central African Republic,,Central equal weights,,,Missing/insufficient,Missing/insufficient
TCD,Chad,,Central equal weights,,,Missing/insufficient,Missing/insufficient
COM,Comoros,,Central equal weights,,,Missing/insufficient,Missing/insufficient
COD,"Congo, Dem. Rep.",,Central equal weights,,,Missing/insufficient,Missing/insufficient
COG,"Congo, Rep.",,Central equal weights,,,Missing/insufficient,Missing/insufficient
CIV,Côte d’Ivoire,,Central equal weights,,,Missing/insufficient,Missing/insufficient
GNQ,Equatorial Guinea,,Central equal weights,,,Missing/insufficient,Missing/insufficient
ERI,Eritrea,,Central equal weights,,,Missing/insufficient,Missing/insufficient
SWZ,Eswatini,Prevention,Central equal weights,0.3966503327115631,0.5378044727304038,Longer-term / local fit,Longer-term / local fit
ETH,Ethiopia,Prevention,Central equal weights,0.8170888839471673,0.4315175428161997,Strategic build-out,Strategic build-out
GAB,Gabon,,Central equal weights,,,Missing/insufficient,Missing/insufficient
GMB,"Gambia, The",,Central equal weights,,,Missing/insufficient,Missing/insufficient
GHA,Ghana,,Central equal weights,,,Missing/insufficient,Missing/insufficient
GIN,Guinea,Prevention,Central equal weights,0.6629725749981942,0.5095057907408274,Longer-term / local fit,Longer-term / local fit
GNB,Guinea-Bissau,,Central equal weights,,,Missing/insufficient,Missing/insufficient
KEN,Kenya,Prevention,Central equal weights,0.7685843886382454,0.5491289261599468,Strategic build-out,Strategic build-out
LSO,Lesotho,,Central equal weights,,,Missing/insufficient,Missing/insufficient
LBR,Liberia,,Central equal weights,,,Missing/insufficient,Missing/insufficient
MDG,Madagascar,,Central equal weights,,,Missing/insufficient,Missing/insufficient
MWI,Malawi,Prevention,Central equal weights,0.7641352445087537,0.3645833333333333,Strategic build-out,Strategic build-out
MLI,Mali,,Central equal weights,,,Missing/insufficient,Missing/insufficient
MRT,Mauritania,,Central equal weights,,,Missing/insufficient,Missing/insufficient
MUS,Mauritius,AD-bio-CNG,Central equal weights,0.4823959358810789,0.5479977198261063,Longer-term / local fit,Longer-term / local fit
MOZ,Mozambique,Prevention,Central equal weights,0.7715419881928725,0.43004770115981733,Strategic build-out,Strategic build-out
NAM,Namibia,,Central equal weights,,,Missing/insufficient,Missing/insufficient
NER,Niger,,Central equal weights,,,Missing/insufficient,Missing/insufficient
NGA,Nigeria,,Central equal weights,,,Missing/insufficient,Missing/insufficient
RWA,Rwanda,,Central equal weights,,,Missing/insufficient,Missing/insufficient
SEN,Senegal,Prevention,Central equal weights,0.5473940916163427,0.583234312199805,Longer-term / local fit,Longer-term / local fit
SYC,Seychelles,Prevention,Central equal weights,0.2058994176029729,0.825657898069671,No-regret / complementary,No-regret / complementary
SLE,Sierra Leone,,Central equal weights,,,Missing/insufficient,Missing/insufficient
SOM,"Somalia, Fed. Rep.",,Central equal weights,,,Missing/insufficient,Missing/insufficient
ZAF,South Africa,Prevention,Central equal weights,0.771813175989036,0.756672140090268,Immediate priority,Immediate priority
SSD,South Sudan,,Central equal weights,,,Missing/insufficient,Missing/insufficient
SDN,Sudan,Prevention,Central equal weights,0.798090691502634,0.43841844378838607,Strategic build-out,Strategic build-out
STP,São Tomé and Príncipe,,Central equal weights,,,Missing/insufficient,Missing/insufficient
TZA,Tanzania,Prevention,Central equal weights,0.8708483039272807,0.47114536910722116,Strategic build-out,Strategic build-out
TGO,Togo,,Central equal weights,,,Missing/insufficient,Missing/insufficient
UGA,Uganda,,Central equal weights,,,Missing/insufficient,Missing/insufficient
